Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Airspeed (m/s),Airspeed Pressure (Pa),Electrical forward flight efficiency (%),Vibration (g),App message,
636.3165831200033,1873,,,,0.01171875,-0.048828125,-1.044921875,-0.08832205672393084,,9.844802149967583,10.91328398757782,9695,0,107.30693315213175,89.66660882533509,83.5608717828255,0.006085380908774934,0.005084997338677965,0.6326195222681245,-0.23932799374016867,3.1557480839736853,1.01171875,,
636.4154581199884,1873,,,,0.08203125,-0.03125,-0.943359375,-0.08853398011190539,0.5512824183127351,9.8422229913295,10.906444313803824,9695,0,107.19623457258292,89.88669778753425,83.85247685791768,0.006133081222049171,0.005142740512396076,0.551435179143813,-0.1818432835494761,2.782006163064153,0.974609375,,
636.5138681199998,1873,,,,0.109375,0.017578125,-1.009765625,,0.5525904182118535,9.84049877017819,10.90121596561919,9694,0,107.14783671213107,,83.88293775074001,,,0.6479841035787658,-0.25109440595098675,3.2783347871587987,0.9453125,,
636.6204881199897,1873,,,,-0.01953125,-0.037109375,-1.056640625,-0.08815929503942813,,9.840207735588834,10.884182825417483,9695,0,106.96456055868207,89.50652263424867,83.6786709231085,0.0061737446830540926,0.005166107496965742,0.8613477321866575,-0.4436754196091144,4.3652684921857965,0.9296875,,
636.7254231200069,1873,,,,0.04296875,-0.03125,-0.935546875,-0.08846469836792757,0.5536879699143252,9.837349826285184,10.8817311312887,9693,0,106.88836621392491,89.79591728690647,84.00906522155101,0.006166070648237153,0.005180058312484463,1.2040943523247416,-0.8670205343929567,6.118770658558642,0.927734375,,
636.8413181200027,1873,,,,0.01953125,-0.025390625,-1.02734375,,0.5536364279388963,9.833559670559548,10.90049971983375,9684,0,107.04073801599301,,83.81451603145383,,,1.5223756527747425,-1.3859641879858984,7.724429258984868,0.94921875,,
636.9706881199926,1873,,,,0.052734375,-0.015625,-1.025390625,-0.08794971404549946,0.5424733228395199,9.82856635821816,10.905031833750066,9676,0,106.99578011124551,89.11325385989092,83.28669950089453,0.006087459489386711,0.005070044092164198,1.6264518242913142,-1.5819427460888775,8.08950499614204,0.97265625,,
637.077048119992,1873,,,,0.09765625,-0.021484375,-0.9453125,-0.0880455990345169,,9.823204765865059,10.905811142393627,9668,0,106.97509009952114,89.14140207026792,83.3291208143296,0.006085537250265616,0.0050710246874748665,1.5648465603264667,-1.4643735531486683,7.7846034042746535,0.974609375,,
637.1657631199956,1873,,,,-0.0625,-0.03515625,-0.970703125,-0.08663048350845369,0.5341064750447386,9.821130324181482,10.90465753300157,9669,0,106.92965939655276,87.71412423042051,82.02974247316106,0.006089172977907962,0.004994932912523215,1.5905156898046293,-1.5128096146332766,7.793573302718803,1.0078125,,
637.2691681199968,1873,,,,0.126953125,-0.05859375,-0.998046875,,0.5327509528556681,9.821434632724127,10.90128496623743,9672,0,106.87889897758797,,82.09384927513685,,,1.7189688076140817,-1.7670317585922177,8.405610608324423,1.017578125,,
637.3665331199915,1873,,,,0.0546875,-0.037109375,-0.98046875,-0.0891788144116328,,9.821284226381618,10.866763702166462,9680,0,106.55998576107737,90.3994608077626,84.83434017197696,0.005893297903497238,0.004999540390800835,1.6495418371129675,-1.6271778942397006,8.090258971183813,1.0390625,,
637.4657931199968,1873,,,,-0.001953125,-0.03515625,-1.05859375,-0.08971305871309009,0.5390774415519708,9.822438196590449,10.862598067293483,9684,0,106.54077025481881,90.97637250381648,85.39113457338802,0.0059254664339288355,0.005059823016697108,1.7575422584137832,-1.8472255170905711,8.723888569273019,1.041015625,,
